title,rating
Reunion Goals: The Beginning,8.5
Sexless,8.5
Church Sister,8.5
Parasite,8.5
Divaldo: O Mensageiro da Paz,8.5
Housekeeper - My Wife's Friend,8.5
David Attenborough: A Life on Our Planet,8.5
Folklore: The Long Pond Studio Sessions,8.5
Mission «Sky»,8.5
Teasing Master Takagi-san: The Movie,8.5
Thriller 40,8.5
Young Hearts,8.5
Squid Game: Making Season 2,8.5
Aşk Sadece Bir An,8.5
The Wish Swap,8.5
Taylor Swift: The 1989 World Tour - Live,8.48
Human,8.478
Scooby-Doo! and the Beach Beastie,8.449
Gabriel's Inferno,8.41
Burn the Stage: The Movie,8.403
The Phantom of the Opera at the Royal Albert Hall,8.4
Stone Cold Steve Austin: The Bottom Line on the Most Popular Superstar of All Time,8.4
No Half Measures: Creating the Final Season of Breaking Bad,8.4
Hope,8.4
Scooby-Doo! and the Spooky Scarecrow,8.4
Whiplash,8.4
One Direction: Where We Are - The Concert Film,8.4
Mushi-Shi: The Next Chapter - Drops of Bells,8.4
A Silent Voice: The Movie,8.4
Lemonade,8.4
O.J.: Made in America,8.4
Primal: Tales of Savagery,8.4
Bring the Soul: The Movie,8.4
My Little Pony: Equestria Girls - Spring Breakdown,8.4
Lucy Shimmers and the Prince of Peace,8.4
Gabriel's Inferno: Part III,8.4
Gabriel's Inferno: Part II,8.4
Impossible Things,8.4
Cuando sea joven,8.4
The X-Treme Riders,8.4
Radical,8.4
Drawing Closer,8.4
Spider-Man: Into the Spider-Verse,8.397
Me vuelves loca,8.394
La Leyenda de los Chaneques,8.388
Inception,8.369
Counterattack,8.369
The Legend of Hei,8.355
Attack on Titan: THE LAST ATTACK,8.35
Spider-Man: Across the Spider-Verse,8.347
The Quintessential Quintuplets Movie,8.335
Matthew Perry: A Hollywood Tragedy,8.333
Peacock,8.333
Flow,8.303
The Big Four: Live in Sofia,8.3
Much Ado About Nothing,8.3
Scooby-Doo! Spooky Games,8.3
CM Punk: Best in the World,8.3
One Direction: This Is Us,8.3
The Thin Yellow Line,8.3
Dou kyu sei – Classmates,8.3
Taylor Swift: Reputation Stadium Tour,8.3
Miracle in Cell No. 7,8.3
Made in Abyss: Wandering Twilight,8.3
BTS World Tour: Love Yourself in Seoul,8.3
Dedicated to my ex,8.3
Violet Evergarden: The Movie,8.3
Pawn,8.3
Given,8.3
Cassandra,8.3
Taylor Swift City of Lover Concert,8.3
Las Leyendas: El Origen,8.3
Ennio,8.3
The Legend of Maula Jatt,8.3
South Park: The 25th Anniversary Concert,8.3
Once Upon a Studio,8.3
Toby,8.3
Welcome al Norte,8.3
Gridman Universe,8.3
Simón,8.3
The Wild Robot,8.3
The Forge,8.3
Super/Man: The Christopher Reeve Story,8.3
Avicii - I'm Tim,8.3
Baby Assassins: Nice Days,8.3
Oomuro-ke: Dear Friends,8.3
Waves,8.3
Henry Danger: The Movie,8.3
Superboys of Malegaon,8.3
The Poet,8.3
Reality Bites: A Hannah Swensen Mystery,8.3
"Josee, the Tiger and the Fish",8.297
Billie Eilish: The World's a Little Blurry,8.284
The Intouchables,8.273
Nada que ver,8.272
Scooby-Doo! Adventures: The Mystery Map,8.262
BLACKPINK: Light Up the Sky,8.254
BTS: Yet to Come in Cinemas,8.25
Life in a Year,8.245
Klaus,8.243
Five Feet Apart,8.242
Evangelion: 3.0+1.0 Thrice Upon a Time,8.237
Green Book,8.236
I Want to Eat Your Pancreas,8.235
Out of the Clear Blue Sky,8.232
Wolfwalkers,8.219
Puss in Boots: The Last Wish,8.219
Justice League Dark: Apokolips War,8.218
Shutter Island,8.2
Beyoncé: I Am... World Tour,8.2
Max Steel vs The Toxic Legion,8.2
The Help,8.2
Wolf Children,8.2
Scooby-Doo! Haunted Holidays,8.2
Doctor Who: The Day of the Doctor,8.2
Cem Yılmaz: CM101MMXI Fundamentals,8.2
Mommy,8.2
The Handmaiden,8.2
Remember You,8.2
Coco,8.2
Avengers: Infinity War,8.2
Youthful Older Sister,8.2
Be with You,8.2
Avengers: Endgame,8.2
The Art of Racing in the Rain,8.2
Violet Evergarden: Eternity and the Auto Memory Doll,8.2
Rascal Does Not Dream of a Dreaming Girl,8.2
My Mom Is a Character 3,8.2
Demon Slayer -Kimetsu no Yaiba- The Movie: Mugen Train,8.2
Hamilton,8.2
Young Sister-In-Law 4,8.2
Clouds,8.2
Fire,8.2
The Fresh Prince of Bel-Air Reunion,8.2
Shawn Mendes: In Wonder,8.2
Pretty Guardian Sailor Moon Eternal the Movie Part 2,8.2
Gintama: The Very Final,8.2
Monica and Friends: Lessons,8.2
Top Gun: Maverick,8.2
20th Century Girl,8.2
"The Boy, the Mole, the Fox and the Horse",8.2
TAYLOR SWIFT | THE ERAS TOUR,8.2
500 Days of Escobar,8.2
Ultraman: Rising,8.2
The Cult,8.2
Gaga Chromatica Ball,8.2
Tiger,8.2
El hilo rojo,8.2
Operation Hadal,8.2
Maquia: When the Promised Flower Blooms,8.196
Hacksaw Ridge,8.195
Django Unchained,8.183
Black Clover: Sword of the Wizard King,8.176
The Untold History Of The United States,8.168
My Hero Academia: Heroes Rising,8.162
Capernaum,8.157
Piper,8.148
Dune: Part Two,8.148
There's Still Tomorrow,8.143
Digimon Adventure: Last Evolution Kizuna,8.137
Call Me by Your Name,8.121
The Salt of the Earth,8.106
Dying to Survive,8.104
Purple Hearts,8.102
1987: When the Day Comes,8.101
Incendies,8.1
Senna,8.1
Heart and Yummie,8.1
Silenced,8.1
Samsara,8.1
Warriors of the Rainbow: Seediq Bale - Part 2: The Rainbow Bridge,8.1
Pretty Cure All Stars DX3: Deliver the Future! The Rainbow-Colored Flower That Connects the World,8.1
Queen: Days of Our Lives,8.1
The Hunt,8.1
Abraham Lincoln Vampire Hunter: The Great Calamity,8.1
Planet Dinosaur: Ultimate Killers,8.1
Led Zeppelin: Celebration Day,8.1
Prisoners,8.1
The Tale of The Princess Kaguya,8.1
Doctor Who: The Time of the Doctor,8.1
Propaganda,8.1
Black Butler: Book of Murder,8.1
Lion,8.1
Kizumonogatari Part 2: Nekketsu,8.1
The Invisible Guest,8.1
Wonder,8.1
A Taxi Driver,8.1
Kizumonogatari Part 3: Reiketsu,8.1
Haikyuu!! Movie 4: Battle of Concepts,8.1
The Dawn Wall,8.1
Seven Sundays,8.1
Miraculous: Tales of Ladybug & Cat Noir,8.1
Believe Me: The Abduction of Lisa McVey,8.1
The Hate U Give,8.1
Bungo Stray Dogs: Dead Apple,8.1
The Legend of the Black Charro,8.1
My Little Pony: Equestria Girls - Rollercoaster of Friendship,8.1
Joker,8.1
Portrait of a Lady on Fire,8.1
Steven Universe: The Movie,8.1
Better Days,8.1
A Dog's Journey,8.1
Togo,8.1
KONOSUBA – God's blessing on this wonderful world! Legend of Crimson,8.1
Saga of Tanya the Evil: The Movie,8.1
HOMECOMING: A film by Beyoncé,8.1
Bilby,8.1
Soul,8.1
Mortal Kombat Legends: Scorpion's Revenge,8.1
The Father,8.1
Everyone is There,8.1
Crossword Mysteries: Abracadaver,8.1
Rising Phoenix,8.1
Zack Snyder's Justice League,8.1
Jujutsu Kaisen 0,8.1
New Gods: Nezha Reborn,8.1
Palmer,8.1
Green Snake,8.1
A Dog Named Palma,8.1
Kally’s Mashup: A Very Kally's Birthday,8.1
All Too Well: The Short Film,8.1
Guillermo del Toro's Pinocchio,8.1
The Best in Hell,8.1
Gabriel's Rapture: Part II,8.1
Oppenheimer,8.1
La posada,8.1
The Temptation of the Mature 50s Mother-in-law,8.1
Where the Tracks End,8.1
How to Make Millions Before Grandma Dies,8.1
No Other Land,8.1
The Remarkable Life of Ibelin,8.1
La Familia del Barrio: La Película,8.1
Take My Hand,8.1
Daughters,8.1
Toofan,8.1
Transformers One,8.095
Harry Potter and the Deathly Hallows: Part 2,8.089
"Miraculous World: New York, United HeroeZ",8.083
Far from the Tree,8.08
Along with the Gods: The Last 49 Days,8.078
Along with the Gods: The Two Worlds,8.075
"Three Billboards Outside Ebbing, Missouri",8.068
Hidden Figures,8.056
Newsies,8.047
Bo Burnham: Make Happy,8.044
The Grand Budapest Hotel,8.042
The Wingwalker,8.042
My First Summer,8.038
The Wolf of Wall Street,8.031
How to Train Your Dragon: Homecoming,8.022
"Veinteañera, divorciada y fantástica",8.018
Scooby-Doo! and Kiss: Rock and Roll Mystery,8.017
"ariana grande: excuse me, i love you",8.017
Flipped,8.016
Won't You Be My Neighbor?,8.012
Weathering with You,8.001
My Name Is Khan,8
Doctor Who: A Christmas Carol,8
Avatar Spirits,8
Kill Bill: The Whole Bloody Affair,8
K-On! The Movie,8
Atacama's 33,8
Adele: Live at the Royal Albert Hall,8
The Greatest Miracle,8
National Theatre Live: Frankenstein,8
Late Blossom,8
Monster High: Why Do Ghouls Fall in Love?,8
Paperman,8
Cool Kids Don't Cry,8
John Mulaney: New in Town,8
Miracle in Cell No. 7,8
Gintama: The Movie 2: The Final Chapter: Be Forever Yorozuya,8
Transformers Prime: Beast Hunters - Predacons Rising,8
Strings,8
Song of the Sea,8
My Little Pony: Equestria Girls - Rainbow Rocks,8
Henry Danger: The Danger Begins,8
The Way He Looks,8
New Initial D the Movie - Legend 1: Awakening,8
XXX,8
Roger Waters: The Wall,8
Room,8
The Second Mother,8
Good Girl,8
Taboo: Forbidden Love,8
Doctor Who: The Husbands of River Song,8
Pervert Observation Shame Hole Bare,8
My Annoying Brother,8
The Purpose of Clubs,8
My Friend's Wife 2,8
Gifted,8
Ayla: The Daughter of War,8
Haikyuu!! Movie 3: Talent and Sense,8
Bingo: The King of the Mornings,8
Doctor Who: Twice Upon a Time,8
Room Salon College Girls,8
On My Skin,8
Scooby-Doo! and the Gourmet Ghost,8
Fantastic Home Service,8
Hannah Gadsby: Nanette,8
Ford v Ferrari,8
1917,8
Jojo Rabbit,8
The Blonde One,8
An Affair: My Wife's Friend 2,8
Wife Exchange Sex,8
Black Beauty,8
Caught in the Net,8
Cruella,8
Aunt,8
Olympians at Heart,8
Paper Lives,8
The House of Flowers: The Movie,8
Bo Burnham: Inside,8
El mesero,8
18 Year Old Muscle Queen Seong-hye's Sex Scandal,8
One Night Radio,8
Love Like the Falling Petals,8
Kaguya-sama: Love Is War -The First Kiss That Never Ends-,8
Beyond the Universe,8
In Our Prime,8
Society of the Snow,8
Monster,8
Sound of Freedom,8
"Red, White & Royal Blue",8
Robot Dreams,8
White Bird,8
12th Fail,8
Blue Giant,8
Porn,8
Fate/strange Fake -Whispers of Dawn-,8
Wish of the Fairy Fish,8
The Eternal Memory,8
STARS-796 ロケ帰り相部屋NTR大雪で帰れなくなったお天気お姉さんが阴険な中年ディレクターの粘着パワハラチンポで开発され続けた一晩。 小凑よつ叶,8
The Count of Monte Cristo,8
Look Back,8
White Snake: Afloat,8
Nezha: Demon Child is Back,8
Hollywoodgate,8
Blood Dried Hands,8
Intercambiadas,8
Miss Italia Mustn't Die,8
In the Lost Lands,8
Spermageddon,8
Deva,8
SNL50: The Homecoming Concert,8
Destruction before Construction: the Making of Ne Zha 2,8
Ladies & Gentlemen... 50 Years of SNL Music,8
Mobile Suit Gundam GQuuuuuuX -Beginning-,8
"Alien, Terror in Space",8
George A. Romero's Resident Evil,8
Fateh,8
Eric Clapton Unplugged… Over 30 Years Later,8
Bring Them Down,8
Fé para o Impossível,8
The Monster Beneath Us,8
"Love, Simon",7.997
The Imitation Game,7.996
All Your Faces,7.996
Loving Vincent,7.995
One Direction: Up All Night - The Live Tour,7.993
The Legend of the Guanajuato Mummies,7.993
20 Days in Mariupol,7.983
Bohemian Rhapsody,7.979
Kitbull,7.973
A Heartland Christmas,7.971
The Boy and the Beast,7.957
Flamin' Hot,7.957
Guardians of the Galaxy Vol. 3,7.952
El fantasma de mi novia,7.949
Spider-Man: No Way Home,7.949
Martians vs Mexicans,7.944
Suzume,7.942
12 Years a Slave,7.936
Dallas Buyers Club,7.924
"Batman: The Dark Knight Returns, Part 2",7.922
Disclosure,7.922
A Street Cat Named Bob,7.912
Inside Out,7.911
Virunga,7.906
Arpeggio of Blue Steel -Ars Nova Cadenza-,7.906
The Boy Who Harnessed the Wind,7.903
In This Corner of the World,7.901
El Infierno,7.9
Scooby-Doo! Camp Scare,7.9
The Disappearance of Haruhi Suzumiya,7.9
Reflections of a Blender,7.9
A Separation,7.9
King George VI: The Man Behind the King's Speech,7.9
It's Such a Beautiful Day,7.9
"Emmanuelle Through Time: Sex, Chocolate & Emmanuelle",7.9
About Time,7.9
Water and Fire,7.9
Crystal Lake Memories: The Complete History of Friday the 13th,7.9
BoOzy’ OS and the Cristal Gem,7.9
Iris 2,7.9
Guardians of the Galaxy,7.9
When Marnie Was There,7.9
Wild Tales,7.9
The Fool,7.9
Minecraft: Into the Nether,7.9
New Initial D the Movie - Legend 2: Racer,7.9
Winter on Fire: Ukraine's Fight for Freedom,7.9
Be Here Now,7.9
Me Before You,7.9
La La Land,7.9
Captain Fantastic,7.9
Dangal,7.9
Sing Street,7.9
Perfect Strangers,7.9
13th,7.9
Canola,7.9
"Love, Lies",7.9
Dhuruvangal Pathinaaru,7.9
The Greatest Showman,7.9
Forgotten,7.9
Scooby-Doo! Shaggy's Showdown,7.9
While the Wolf's Away,7.9
I Dream in Another Language,7.9
My Hero Academia: Two Heroes,7.9
"Remi, Nobody's Boy",7.9
Where Hands Touch,7.9
Free Solo,7.9
Robin Williams: Come Inside My Mind,7.9
Dragon Ball Super: Broly,7.9
Little Women,7.9
"No manches, Frida 2: paraíso destruido",7.9
Just Mercy,7.9
Scooby-Doo! and the Curse of the 13th Ghost,7.9
Apollo 11,7.9
I'm No Longer Here,7.9
Honeyland,7.9
Invisible Life,7.9
Soul of Hero,7.9
A Whisker Away,7.9
Your Name Engraved Herein,7.9
The Stranger by the Shore,7.9
Miss Americana,7.9
Cindy La Regia,7.9
You've Got This,7.9
The Mole Agent,7.9
Little Girl,7.9
Sing 2,7.9
Nobody,7.9
CODA,7.9
The Mitchells vs. the Machines,7.9
Finch,7.9
Ron's Gone Wrong,7.9
Miraculous World: Shanghai – The Legend of Ladydragon,7.9
Friends: The Reunion,7.9
An Egg Rescue,7.9
The Immortal Wars: Rebirth,7.9
Tokyo Revengers,7.9
The Rescue,7.9
Ostap Bender: The Final Hustle,7.9
Happier Than Ever: A Love Letter to Los Angeles,7.9
Anita,7.9
The Velvet Queen,7.9
Dragon Ball Super: Super Hero,7.9
Thirteen Lives,7.9
My Father's Violin,7.9
Argentina 1985,7.9
Drishyam 2,7.9
Hachiko,7.9
The Hawk,7.9
Journey to Bethlehem,7.9
Sirocco and the Kingdom of Winds,7.9
The Imaginary,7.9
Gabriel's Redemption: Part III,7.9
I'm Still Here,7.9
Animal Adventures: Save The Forest,7.9
Maharaja,7.9
Young Woman and the Sea,7.9
The Last Dance,7.9
The Greatest Night in Pop,7.9
Forgotten Love,7.898
Ne Zha,7.896
Dogman,7.895
The Internet's Own Boy: The Story of Aaron Swartz,7.892
Bad Genius,7.892
Sword Art Online the Movie – Progressive – Aria of a Starless Night,7.891
Gone Girl,7.89
Demon Slayer: Kimetsu no Yaiba – Sibling's Bond,7.885
We Are the Nobles,7.884
Wish Dragon,7.884
Justice League: The Flashpoint Paradox,7.883
"Good Day, Ramon",7.882
Searching for Sugar Man,7.879
My Octopus Teacher,7.879
Nimona,7.879
Life and a Day,7.877
Totto-chan: The Little Girl at the Window,7.875
Star Wars Rebels: The Siege of Lothal,7.861
Monster High: Scaris City of Frights,7.859
The Witch: Part 1. The Subversion,7.859
Let Go,7.856
Shoplifters,7.855
My Way,7.852
Her,7.851
Seaspiracy,7.849
The Dude in Me,7.848
One More Time with Feeling,7.847
The Theory of Everything,7.846
Knives Out,7.844
Warrior,7.842
Gabriel's Rapture: Part I,7.842
The Breadwinner,7.841
Raya and the Last Dragon,7.841
Feast,7.837
Dance of the Forty One,7.833
Creating The Queen's Gambit,7.832
The Whale,7.832
We Bare Bears: The Movie,7.83
Louis C.K.: Live at the Beacon Theater,7.829
Sanam Teri Kasam,7.828
La luna,7.823
Spotlight,7.815
A Day,7.812
Elite Squad: The Enemy Within,7.811
Never Sleep Again: The Elm Street Legacy,7.801
How to Train Your Dragon,7.8
Toy Story 3,7.8
Let the Bullets Fly,7.8
Under the Hawthorn Tree,7.8
Temple Grandin,7.8
Crayon Shin-chan: Super-Dimension! The Storm Called My Bride,7.8
Phineas and Ferb: Summer Belongs to You!,7.8
Louis C.K.: Hilarious,7.8
MiLK,7.8
Ultra Galaxy Legend Side Story: Ultraman Zero vs. Darklops Zero - Stage I: Cosmic Collision,7.8
Scooby-Doo! Legend of the Phantosaur,7.8
Always,7.8
"Leafie, a Hen Into the Wild",7.8
Michael Jackson: The Life of an Icon,7.8
Sunny,7.8
Jiro Dreams of Sushi,7.8
The Princess and the Pilot,7.8
The Extraordinary Voyage,7.8
The Art of Flight,7.8
It's Such a Beautiful Day,7.8
The Dark Knight Rises,7.8
The Perks of Being a Wallflower,7.8
Ernest & Celestine,7.8
Monster High: Friday Night Frights,7.8
Monster High: Escape from Skull Shores,7.8
Gangs of Wasseypur - Part 2,7.8
The Dream Team,7.8
The Wind Rises,7.8
The Best Offer,7.8
Jodorowsky's Dune,7.8
Blackfish,7.8
Short Term 12,7.8
The Attorney,7.8
Whiplash,7.8
"Love, Rosie",7.8
The Normal Heart,7.8
Doctor Who: Last Christmas,7.8
For My Brother,7.8
Gods,7.8
The Hateful Eight,7.8
Straight Outta Compton,7.8
War Room,7.8
Regular Show: The Movie,7.8
Land of Mine,7.8
Bajrangi Bhaijaan,7.8
The Look of Silence,7.8
Racing Extinction,7.8
World of Tomorrow,7.8
Boonie Bears: A Mystical Winter,7.8
Sherlock: The Abominable Bride,7.8
Monster High: Great Scarrier Reef,7.8
My Life as a Zucchini,7.8
Inner Workings,7.8
Wicked Deeds,7.8
Kuroko's Basketball - Movie: Winter Cup - Crossing the Door,7.8
Logan,7.8
No Game No Life: Zero,7.8
God's Own Country,7.8
A Bag of Marbles,7.8
See You Up There,7.8
Lupin the Third: Goemon's Blood Spray,7.8
The Jetsons & WWE: Robo-WrestleMania,7.8
The Great Buddha+,7.8
AlphaGo,7.8
Laboratory Conditions,7.8
Isle of Dogs,7.8
Midnight Sun,7.8
"Love, Chunibyo & Other Delusions! Take On Me",7.8
Never Look Away,7.8
Sgt. Stubby: An American Hero,7.8
They Shall Not Grow Old,7.8
Period. End of Sentence.,7.8
Vada Chennai,7.8
Good Girlfriend,7.8
Keys to the Heart,7.8
One Crazy Summer: A Look Back at Gravity Falls,7.8
"The Gangster, the Cop, the Devil",7.8
In the Arms of an Assassin,7.8
Tune in for Love,7.8
High & Low The Worst,7.8
Is It Wrong to Try to Pick Up Girls in a Dungeon?: Arrow of the Orion,7.8
Tod@s Caen,7.8
Close to the Horizon,7.8
Dino King: Journey to Fire Mountain,7.8
The Specials,7.8
K-12,7.8
In Search of Darkness,7.8
Trinity Seven: Heaven's Library & Crimson Lord,7.8
Charm City Kings,7.8
Made in Abyss: Dawn of the Deep Soul,7.8
"Happy Halloween, Scooby-Doo!",7.8
All My Life,7.8
Words on Bathroom Walls,7.8
Love You Forever,7.8
Crayon Shin-Chan: Crash! Rakuga Kingdom and Almost Four Heroes,7.8
Honeymood,7.8
Theatre: A Love Story,7.8
Luca,7.8
Pretty Guardian Sailor Moon Eternal the Movie Part 1,7.8
Sweet & Sour,7.8
Wicked,7.8
The Shadow in My Eye,7.8
Gone Mom: The Disappearance of Jennifer Dulos,7.8
Sing a Bit of Harmony,7.8
Small World,7.8
The Summit of the Gods,7.8
Flee,7.8
Crayon Shin-chan: Shrouded in Mystery! The Flowers of Tenkazu Academy,7.8
Blush,7.8
Redeeming Love,7.8
Close,7.8
Mortal Kombat Legends: Snow Blind,7.8
The Seven Deadly Sins: Grudge of Edinburgh Part 1,7.8
Emancipation,7.8
Patriots Time,7.8
Sita Ramam,7.8
OLIVIA RODRIGO: driving home 2 u (a SOUR film),7.8
My Fault,7.8
Guy Ritchie's The Covenant,7.8
The Promised Land,7.8
One Life,7.8
Soulmate,7.8
Io Capitano,7.8
Space Pups,7.8
Pretty Guardian Sailor Moon Cosmos the Movie Part 2,7.8
To End All War: Oppenheimer & the Atomic Bomb,7.8
Burga,7.8
Shooting Stars,7.8
Artem & Eva,7.8
Time Still Turns the Pages,7.8
Memoir of a Snail,7.8
Lembayung,7.8
10 Lives,7.8
Ordinary Angels,7.8
Out of My Mind,7.8
Tatami,7.8
Cabrini,7.8
I Am: Celine Dion,7.8
Jim Henson Idea Man,7.8
Conquer: Lahad Datu,7.8
Strawberry Shortcake's Spring Spectacular,7.8
Hear Me: Our Summer,7.8
With You in the Future,7.8
Chhaava,7.8
"Umjolo: My Beginning, My End!",7.8
Us Again,7.799
I Saw the Devil,7.794
Tomorrow,7.792
Don't Be Bad,7.789
Polisse,7.787
Luck,7.785
The Gorge,7.785
Pearl Jam Twenty,7.784
Dune,7.783
The First Slam Dunk,7.783
V.I.P.,7.78
Innocent Witness,7.779
The Legend of La Llorona,7.777
"So Long, My Son",7.777
The Heist of the Century,7.77
A Man Called Otto,7.77
Gran Turismo,7.767
Nowhere to Be Found,7.764
L.O.L. Surprise! Winter Fashion Show,7.763
Amour,7.762
Everything Everywhere All at Once,7.759
Train to Busan,7.751
Perfect Days,7.75
RRR,7.747
Hustle,7.746
Harry Potter and the Deathly Hallows: Part 1,7.744
Sonic the Hedgehog 3,7.742
Interstellar: Nolan's Odyssey,7.736
Batman: Under the Red Hood,7.735
"Batman: The Dark Knight Returns, Part 1",7.735
Sword Art Online: The Movie – Ordinal Scale,7.733
A Woman With No Filter,7.733
The Avengers,7.73
I Am Not Your Negro,7.727
Amal,7.727
Rurouni Kenshin Part III: The Legend Ends,7.722
John Wick: Chapter 4,7.722
Date A Live: Mayuri Judgment,7.719
We Beat the Dream Team,7.714
Rurouni Kenshin: The Final,7.711
Big Top Scooby-Doo!,7.71
Belle,7.709
The Teacher Who Promised the Sea,7.708
BPM (Beats per Minute),7.707
Back to the Outback,7.706
We Made a Beautiful Bouquet,7.706
Day & Night,7.704
Poor Things,7.703
Three Steps Above Heaven,7.7
Black Swan,7.7
The Man from Nowhere,7.7
The King's Speech,7.7
Inside Job,7.7
Scooby-Doo! Abracadabra-Doo,7.7
A Little Thing Called Love,7.7
Harmony,7.7
The Turin Horse,7.7
I Don't Want to Go Back Alone,7.7
Alice's Adventures in Wonderland (The Royal Ballet at the Royal Opera House),7.7
Still Screaming: The Ultimate Scary Movie Retrospective,7.7
Masquerade,7.7
The Act of Killing,7.7
I Am Bruce Lee,7.7
Scooby-Doo! Music of the Vampire,7.7
What the Day Owes the Night,7.7
My Straight Son,7.7
Doctor Who: The Snowmen,7.7
As One,7.7
Abducted: The Carlina White Story,7.7
London 2012 Olympic Opening Ceremony: Isles of Wonder,7.7
Heaven In Your Eyes,7.7
Rush,7.7
Berserk: The Golden Age Arc III - The Advent,7.7
Monster High: 13 Wishes,7.7
Instructions Not Included,7.7
Jack Reacher: When the Man Comes Around,7.7
Free Fall,7.7
Puella Magi Madoka Magica the Movie Part III: Rebellion,7.7
"Papita, maní, tostón",7.7
An Adventure in Space and Time,7.7
My Mom Is a Character,7.7
The Square,7.7
Big Hero 6,7.7
Captain America: The Winter Soldier,7.7
How to Train Your Dragon 2,7.7
Nightcrawler,7.7
Monster High: Freaky Fusion,7.7
PK,7.7
Cowspiracy: The Sustainability Secret,7.7
Citizenfour,7.7
Pride,7.7
Harmonie,7.7
Don't Hug Me I'm Scared 2,7.7
The Tiger,7.7
One Piece: Adventure of Nebulandia,7.7
"Monster High: Boo York, Boo York",7.7
Embrace of the Serpent,7.7
Tokyo Ghoul: Jack,7.7
Hitting the Apex,7.7
Scooby-Doo! Moon Monster Madness,7.7
Drishyam,7.7
Mustang,7.7
Little Forest: Winter/Spring,7.7
Requiem for the American Dream,7.7
Holding the Man,7.7
Love Live! The School Idol Movie,7.7
A la mala,7.7
The Mask You Live In,7.7
L'Emprise,7.7
Arpeggio of Blue Steel -Ars Nova DC-,7.7
Phineas and Ferb: The O.W.C.A. Files,7.7
Zootopia,7.7
Don't Blame the Kid,7.7
Kizumonogatari Part 1: Tekketsu,7.7
I Am Nezha,7.7
Maudie,7.7
"I, Daniel Blake",7.7
Two Is a Family,7.7
Before the Flood,7.7
A Plastic Ocean,7.7
New Initial D the Movie - Legend 3: Dream,7.7
Divines,7.7
The Outlaws,7.7
Fabricated City,7.7
Kuroko's Basketball the Movie: Last Game,7.7
Earth: One Amazing Day,7.7
The Big Bad Fox and Other Tales,7.7
Faces Places,7.7
Closest Love to Heaven,7.7
Chasing Coral,7.7
LA 92,7.7
The Testament of Sister New Devil: Departures,7.7
An Elephant Sitting Still,7.7
The Conductor,7.7
My Little Pony: Equestria Girls - Forgotten Friendship,7.7
Feminists: What Were They Thinking?,7.7
Microhabitat,7.7
Non Non Biyori: Vacation,7.7
How to Train Your Dragon: The Hidden World,7.7
Descendants 3,7.7
Red Shoes and the Seven Dwarfs,7.7
White Snake,7.7
Marriage Story,7.7
Overcomer,7.7
Chernobyl: Exclusion Zone. The Movie,7.7
Cousins,7.7
1942: Unknown Battle,7.7
Bacurau,7.7
Made in Abyss: Journey's Dawn,7.7
A Sun,7.7
Memories of a Teenager,7.7
The Gentlemen,7.7
Onward,7.7
The Trial of the Chicago 7,7.7
R-Rated Idol Seung-ha's Fancy Walk,7.7
Fate/stay night: Heaven's Feel III. Spring Song,7.7
Sound of Metal,7.7
Innocence,7.7
Samjin Company English Class,7.7
Rich in Love,7.7
Elephant,7.7
Soorarai Pottru,7.7
Mother at War,7.7
Emperor,7.7
TINA,7.7
